        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 5.00000000e+00,        -6.181590166538e-05,        -3.078157721701e+00
 5.30000000e+00,        -5.257411883702e-03,        -1.799883261434e+02
 5.60000000e+00,        -1.889705644697e-03,        -1.799912712065e+02
 5.90000000e+00,        -1.405592402545e-01,        -1.786667690798e+02
 6.20000000e+00,        -1.392707290315e-01,        -1.793516411817e+02
 6.50000000e+00,        -7.019027405835e-02,        -1.421561521601e+02
 6.80000000e+00,        +1.542701948422e+00,        +1.310666743930e+02
