        f (GHz),          Re{Φ_elec[1]} (C),          Im{Φ_elec[1]} (C)
 5.00000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 5.30000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 5.60000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 5.90000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 6.20000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 6.50000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
 6.80000000e+00,        +0.000000000000e+00,        +0.000000000000e+00
