        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 5.00000000e+00,        +1.251463485313e+00,        +1.249754232364e+00,        +0.000000000000e+00,        +0.000000000000e+00
 5.30000000e+00,        +3.077644034400e-04,        +3.016497321993e-04,        +0.000000000000e+00,        +0.000000000000e+00
 5.60000000e+00,        +8.287129440436e-05,        +7.854247760258e-05,        +0.000000000000e+00,        +0.000000000000e+00
 5.90000000e+00,        +4.620130977041e-03,        +4.002564504903e-03,        +0.000000000000e+00,        +0.000000000000e+00
 6.20000000e+00,        +2.884227107243e-03,        +2.598370373811e-03,        +0.000000000000e+00,        +0.000000000000e+00
 6.50000000e+00,        +1.331904903373e+00,        +1.317003745378e+00,        +0.000000000000e+00,        +0.000000000000e+00
 6.80000000e+00,        +1.632350875495e+00,        +1.653426785712e+00,        +0.000000000000e+00,        +0.000000000000e+00
