        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 2.14000000e+00,        +1.414213562373e-01,        +1.980093285055e-01,        +1.822536755704e-02
 2.17000000e+00,        +1.414213562373e-01,        +1.988675882389e-01,        +1.590439363371e-02
 2.20000000e+00,        +1.414213562373e-01,        +1.993370309954e-01,        +1.338710003575e-02
 2.23000000e+00,        +1.414213562373e-01,        +1.993582899585e-01,        +1.074388248768e-02
 2.26000000e+00,        +1.414213562373e-01,        +1.988848844447e-01,        +8.061570839552e-03
 2.29000000e+00,        +1.414213562373e-01,        +1.978869027710e-01,        +5.441715628375e-03
 2.32000000e+00,        +1.414213562373e-01,        +1.963550054355e-01,        +2.998535392975e-03
 2.35000000e+00,        +1.414213562373e-01,        +1.943050710567e-01,        +8.560323707957e-04
 2.38000000e+00,        +1.414213562373e-01,        +1.917834709885e-01,        -8.565377110245e-04
 2.41000000e+00,        +1.414213562373e-01,        +1.888724079972e-01,        -2.011801889683e-03
 2.44000000e+00,        +1.414213562373e-01,        +1.856940558011e-01,        -2.494816126131e-03
 2.47000000e+00,        +1.414213562373e-01,        +1.824115267210e-01,        -2.217244032413e-03
 2.50000000e+00,        +1.414213562373e-01,        +1.792242065961e-01,        -1.134302725256e-03
 2.53000000e+00,        +1.414213562373e-01,        +1.763550695762e-01,        +7.379613033316e-04
 2.56000000e+00,        +1.414213562373e-01,        +1.740286573349e-01,        +3.309321103473e-03
 2.59000000e+00,        +1.414213562373e-01,        +1.724409026753e-01,        +6.411616975778e-03
 2.62000000e+00,        +1.414213562373e-01,        +1.717258870250e-01,        +9.810059579319e-03
 2.65000000e+00,        +1.414213562373e-01,        +1.719286714997e-01,        +1.323170499615e-02
 2.68000000e+00,        +1.414213562373e-01,        +1.729945979220e-01,        +1.640656361822e-02
 2.71000000e+00,        +1.414213562373e-01,        +1.747810734903e-01,        +1.910980360225e-02
 2.74000000e+00,        +1.414213562373e-01,        +1.770886823335e-01,        +2.119138835025e-02
