        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 1.72000000e+00,        +2.276388002689e-01,        +2.452211571256e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.75000000e+00,        +2.267756170826e-01,        +2.442226200680e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.78000000e+00,        +2.260166619008e-01,        +2.432779903197e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.81000000e+00,        +2.253448058958e-01,        +2.423783929745e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.84000000e+00,        +2.247425879121e-01,        +2.415089134712e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.87000000e+00,        +2.241956432728e-01,        +2.406516669494e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.90000000e+00,        +2.236963226145e-01,        +2.397897056746e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.93000000e+00,        +2.232471613240e-01,        +2.389114877632e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.96000000e+00,        +2.228637545842e-01,        +2.380154553362e-01,        +0.000000000000e+00,        +0.000000000000e+00
 1.99000000e+00,        +2.225765386939e-01,        +2.371141103709e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.02000000e+00,        +2.224310255696e-01,        +2.362368997639e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.05000000e+00,        +2.224862122408e-01,        +2.354312929060e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.08000000e+00,        +2.228111699027e-01,        +2.347616794324e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.11000000e+00,        +2.234801289569e-01,        +2.343060833723e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.14000000e+00,        +2.245666056059e-01,        +2.341510657576e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.17000000e+00,        +2.261371696777e-01,        +2.343854329766e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.20000000e+00,        +2.282453102820e-01,        +2.350933924344e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.23000000e+00,        +2.309255797224e-01,        +2.363476047799e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.26000000e+00,        +2.341879097755e-01,        +2.382022702626e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.29000000e+00,        +2.380118302438e-01,        +2.406861017330e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.32000000e+00,        +2.423403779589e-01,        +2.437949201673e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.35000000e+00,        +2.470738164318e-01,        +2.474837631927e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.38000000e+00,        +2.520638929327e-01,        +2.516588746151e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.41000000e+00,        +2.571101862759e-01,        +2.561707370715e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.44000000e+00,        +2.619610116966e-01,        +2.608103335900e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.47000000e+00,        +2.663220924427e-01,        +2.653118591536e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.50000000e+00,        +2.698763414614e-01,        +2.693657258359e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.53000000e+00,        +2.723169524393e-01,        +2.726452126182e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.56000000e+00,        +2.733927764801e-01,        +2.748475791095e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.59000000e+00,        +2.729592754835e-01,        +2.757452230589e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.62000000e+00,        +2.710214813823e-01,        +2.752352966026e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.65000000e+00,        +2.677514618706e-01,        +2.733706693699e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.68000000e+00,        +2.634673184099e-01,        +2.703568225692e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.71000000e+00,        +2.585752642855e-01,        +2.665110890002e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.74000000e+00,        +2.534936951689e-01,        +2.621975969453e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.77000000e+00,        +2.485863084718e-01,        +2.577621205956e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.80000000e+00,        +2.441242257263e-01,        +2.534880444921e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.83000000e+00,        +2.402806262372e-01,        +2.495809035808e-01,        +0.000000000000e+00,        +0.000000000000e+00
 2.86000000e+00,        +2.371475002446e-01,        +2.461750747199e-01,        +0.000000000000e+00,        +0.000000000000e+00
