        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.89000000e+00,        -8.506991544564e+00,        +2.454283276756e+01
 2.92000000e+00,        -8.306375545680e+00,        +2.254322305606e+01
 2.95000000e+00,        -8.163986753867e+00,        +2.051148407815e+01
 2.98000000e+00,        -8.073234980703e+00,        +1.848563771823e+01
 3.01000000e+00,        -8.029070020345e+00,        +1.649215609546e+01
 3.04000000e+00,        -8.027834536505e+00,        +1.455257283542e+01
 3.07000000e+00,        -8.066810540204e+00,        +1.268852685777e+01
 3.10000000e+00,        -8.143497920199e+00,        +1.092423529647e+01
 3.13000000e+00,        -8.254867434906e+00,        +9.285070383033e+00
 3.16000000e+00,        -8.397082312662e+00,        +7.792444625335e+00
 3.19000000e+00,        -8.566112204131e+00,        +6.458591119971e+00
