        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 4.75000000e+00,        -2.067518926907e+00,        +3.485639884725e+01
 4.80000000e+00,        -1.977947260699e+00,        +3.257013899000e+01
 4.85000000e+00,        -1.899019361869e+00,        +3.035778813169e+01
 4.90000000e+00,        -1.829478839300e+00,        +2.820962967191e+01
 4.95000000e+00,        -1.768290282687e+00,        +2.611666640707e+01
 5.00000000e+00,        -1.714602238507e+00,        +2.407049095004e+01
 5.05000000e+00,        -1.667718368741e+00,        +2.206316556728e+01
 5.10000000e+00,        -1.627075128992e+00,        +2.008710938074e+01
 5.15000000e+00,        -1.592224739405e+00,        +1.813499069583e+01
 5.20000000e+00,        -1.562822559787e+00,        +1.619962206093e+01
 5.25000000e+00,        -1.538618250267e+00,        +1.427385548753e+01
 5.30000000e+00,        -1.519450324322e+00,        +1.235047502426e+01
 5.35000000e+00,        -1.505243901354e+00,        +1.042208354281e+01
 5.40000000e+00,        -1.496011658366e+00,        +8.480980120749e+00
 5.45000000e+00,        -1.491858181961e+00,        +6.519023745348e+00
 5.50000000e+00,        -1.492988152124e+00,        +4.527478151851e+00
 5.55000000e+00,        -1.499719072131e+00,        +2.496831364165e+00
 5.60000000e+00,        -1.512499626927e+00,        +4.165818092153e-01
 5.65000000e+00,        -1.531935251558e+00,        -1.725019434665e+00
 5.70000000e+00,        -1.558823189695e+00,        -3.941283848992e+00
 5.75000000e+00,        -1.594200322798e+00,        -6.247476061309e+00
 5.80000000e+00,        -1.639408511252e+00,        -8.661303671725e+00
 5.85000000e+00,        -1.696184357558e+00,        -1.120353842266e+01
 5.90000000e+00,        -1.766783570683e+00,        -1.389881228476e+01
 5.95000000e+00,        -1.854155109209e+00,        -1.677664810563e+01
 6.00000000e+00,        -1.962188027841e+00,        -1.987280717064e+01
 6.05000000e+00,        -2.096066110689e+00,        -2.323106847516e+01
 6.10000000e+00,        -2.262784679374e+00,        -2.690560189469e+01
 6.15000000e+00,        -2.471914923481e+00,        -3.096416956125e+01
 6.20000000e+00,        -2.736751166510e+00,        -3.549250829912e+01
 6.25000000e+00,        -3.076057978546e+00,        -4.060046668510e+01
 6.30000000e+00,        -3.516767472307e+00,        -4.643095300458e+01
 6.35000000e+00,        -4.098197126881e+00,        -5.317398658072e+01
 6.40000000e+00,        -4.878724855404e+00,        -6.109172242475e+01
 6.45000000e+00,        -5.946460604526e+00,        -7.057161959531e+01
