        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 3.50000000e+00,        +1.414213562373e-01,        +1.707984707295e-01,        -1.619100107513e-02
 3.55000000e+00,        +1.414213562373e-01,        +1.622576529377e-01,        -1.549166340690e-02
 3.60000000e+00,        +1.414213562373e-01,        +1.535028685265e-01,        -1.237615418445e-02
 3.65000000e+00,        +1.414213562373e-01,        +1.453345862315e-01,        -6.798437628265e-03
 3.70000000e+00,        +1.414213562373e-01,        +1.385242563138e-01,        +9.810659584901e-04
 3.75000000e+00,        +1.414213562373e-01,        +1.336864368221e-01,        +1.043533315220e-02
 3.80000000e+00,        +1.414213562373e-01,        +1.311845305640e-01,        +2.086838977862e-02
 3.85000000e+00,        +1.414213562373e-01,        +1.310980078476e-01,        +3.154301592898e-02
 3.90000000e+00,        +1.414213562373e-01,        +1.332547767932e-01,        +4.179901419197e-02
 3.95000000e+00,        +1.414213562373e-01,        +1.373078561470e-01,        +5.113120019987e-02
 4.00000000e+00,        +1.414213562373e-01,        +1.428250503673e-01,        +5.921724824975e-02
 4.05000000e+00,        +1.414213562373e-01,        +1.493658285208e-01,        +6.590458801124e-02
 4.10000000e+00,        +1.414213562373e-01,        +1.565329124577e-01,        +7.117422015814e-02
 4.15000000e+00,        +1.414213562373e-01,        +1.639981313651e-01,        +7.509813236496e-02
 4.20000000e+00,        +1.414213562373e-01,        +1.715086883640e-01,        +7.780105740611e-02
 4.25000000e+00,        +1.414213562373e-01,        +1.788815062950e-01,        +7.943120833289e-02
 4.30000000e+00,        +1.414213562373e-01,        +1.859920090595e-01,        +8.014046921453e-02
 4.35000000e+00,        +1.414213562373e-01,        +1.927615411053e-01,        +8.007247947813e-02
 4.40000000e+00,        +1.414213562373e-01,        +1.991457150074e-01,        +7.935647373623e-02
 4.45000000e+00,        +1.414213562373e-01,        +2.051246521652e-01,        +7.810491812553e-02
 4.50000000e+00,        +1.414213562373e-01,        +2.106953087460e-01,        +7.641343212176e-02
 4.55000000e+00,        +1.414213562373e-01,        +2.158656994955e-01,        +7.436194663905e-02
 4.60000000e+00,        +1.414213562373e-01,        +2.206506903889e-01,        +7.201642501834e-02
 4.65000000e+00,        +1.414213562373e-01,        +2.250690146916e-01,        +6.943074440070e-02
 4.70000000e+00,        +1.414213562373e-01,        +2.291412063376e-01,        +6.664851544348e-02
 4.75000000e+00,        +1.414213562373e-01,        +2.328882016225e-01,        +6.370473145342e-02
 4.80000000e+00,        +1.414213562373e-01,        +2.363304166835e-01,        +6.062720505369e-02
 4.85000000e+00,        +1.414213562373e-01,        +2.394871566868e-01,        +5.743778782437e-02
 4.90000000e+00,        +1.414213562373e-01,        +2.423762512421e-01,        +5.415338739061e-02
 4.95000000e+00,        +1.414213562373e-01,        +2.450138399266e-01,        +5.078680470919e-02
 5.00000000e+00,        +1.414213562373e-01,        +2.474142534598e-01,        +4.734741656801e-02
 5.05000000e+00,        +1.414213562373e-01,        +2.495899516587e-01,        +4.384172744990e-02
 5.10000000e+00,        +1.414213562373e-01,        +2.515514902713e-01,        +4.027381262180e-02
 5.15000000e+00,        +1.414213562373e-01,        +2.533074962986e-01,        +3.664567155852e-02
 5.20000000e+00,        +1.414213562373e-01,        +2.548646363654e-01,        +3.295750812954e-02
 5.25000000e+00,        +1.414213562373e-01,        +2.562275657122e-01,        +2.920795165283e-02
 5.30000000e+00,        +1.414213562373e-01,        +2.573988469127e-01,        +2.539423111064e-02
 5.35000000e+00,        +1.414213562373e-01,        +2.583788277516e-01,        +2.151231363728e-02
 5.40000000e+00,        +1.414213562373e-01,        +2.591654669845e-01,        +1.755701794142e-02
 5.45000000e+00,        +1.414213562373e-01,        +2.597540950160e-01,        +1.352211377704e-02
 5.50000000e+00,        +1.414213562373e-01,        +2.601370938398e-01,        +9.400420185700e-03
 5.55000000e+00,        +1.414213562373e-01,        +2.603034768077e-01,        +5.183918408896e-03
 5.60000000e+00,        +1.414213562373e-01,        +2.602383437948e-01,        +8.639007667747e-04
 5.65000000e+00,        +1.414213562373e-01,        +2.599221809652e-01,        -3.568814562280e-03
 5.70000000e+00,        +1.414213562373e-01,        +2.593299665459e-01,        -8.123559456759e-03
 5.75000000e+00,        +1.414213562373e-01,        +2.584300349518e-01,        -1.280931828980e-02
 5.80000000e+00,        +1.414213562373e-01,        +2.571826420246e-01,        -1.763396083724e-02
 5.85000000e+00,        +1.414213562373e-01,        +2.555381660805e-01,        -2.260306074254e-02
 5.90000000e+00,        +1.414213562373e-01,        +2.534348776738e-01,        -2.771807986407e-02
 5.95000000e+00,        +1.414213562373e-01,        +2.507962257622e-01,        -3.297358492273e-02
 6.00000000e+00,        +1.414213562373e-01,        +2.475276407221e-01,        -3.835299104648e-02
 6.05000000e+00,        +1.414213562373e-01,        +2.435129885743e-01,        -4.382207299280e-02
 6.10000000e+00,        +1.414213562373e-01,        +2.386111105357e-01,        -4.931912527598e-02
 6.15000000e+00,        +1.414213562373e-01,        +2.326535082025e-01,        -5.474018561003e-02
 6.20000000e+00,        +1.414213562373e-01,        +2.254454761404e-01,        -5.991724742847e-02
 6.25000000e+00,        +1.414213562373e-01,        +2.167753118956e-01,        -6.458721594466e-02
 6.30000000e+00,        +1.414213562373e-01,        +2.064402650744e-01,        -6.835048089962e-02
 6.35000000e+00,        +1.414213562373e-01,        +1.943039224960e-01,        -7.062271460543e-02
 6.40000000e+00,        +1.414213562373e-01,        +1.804059810281e-01,        -7.059641814112e-02
 6.45000000e+00,        +1.414213562373e-01,        +1.651433486426e-01,        -6.725589817052e-02
 6.50000000e+00,        +1.414213562373e-01,        +1.495088055045e-01,        -5.952975517892e-02
 6.55000000e+00,        +1.414213562373e-01,        +1.352768263478e-01,        -4.668364709075e-02
 6.60000000e+00,        +1.414213562373e-01,        +1.248773469760e-01,        -2.895232126950e-02
 6.65000000e+00,        +1.414213562373e-01,        +1.206797327371e-01,        -8.092383586523e-03
 6.70000000e+00,        +1.414213562373e-01,        +1.238279182128e-01,        +1.276556740882e-02
 6.75000000e+00,        +1.414213562373e-01,        +1.334464069494e-01,        +3.024776797127e-02
 6.80000000e+00,        +1.414213562373e-01,        +1.469891719704e-01,        +4.214909183086e-02
 6.85000000e+00,        +1.414213562373e-01,        +1.614465652163e-01,        +4.806746637023e-02
 6.90000000e+00,        +1.414213562373e-01,        +1.744355742997e-01,        +4.904780880226e-02
 6.95000000e+00,        +1.414213562373e-01,        +1.846534768327e-01,        +4.682244477255e-02
 7.00000000e+00,        +1.414213562373e-01,        +1.918395104884e-01,        +4.315290965880e-02
 7.05000000e+00,        +1.414213562373e-01,        +1.965028711216e-01,        +3.937915273521e-02
 7.10000000e+00,        +1.414213562373e-01,        +1.995042268651e-01,        +3.617773756957e-02
 7.15000000e+00,        +1.414213562373e-01,        +2.015932658146e-01,        +3.362080559698e-02
 7.20000000e+00,        +1.414213562373e-01,        +2.031542919276e-01,        +3.151148641054e-02
 7.25000000e+00,        +1.414213562373e-01,        +2.042894602677e-01,        +2.971452617640e-02
